"Che"	"Hyc"	"Hym"	"Hys"	"Psy"	"Aga"	"Glo"	"Ath"	"Cea"	"Ced"	"Set"	"All"	"Han"	"Hfo"	"Hsp"	"Hve"	"Sta"
"1"	0	0	5	0	17	0	0	0	0	2	0	1	0	1	2	0	1
"2"	0	0	3	0	8	0	0	0	0	0	0	2	0	0	0	0	0
"3"	0	0	1	0	32	0	0	0	0	0	0	4	0	0	1	0	0
"4"	0	0	3	0	176	4	0	0	0	1	0	3	0	0	3	0	2
"5"	0	0	4	0	69	2	0	0	0	0	0	1	0	0	1	0	2
"6"	0	0	2	0	14	1	0	0	0	0	0	1	0	0	0	0	0
"7"	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0
"8"	0	0	1	0	29	1	0	0	0	0	0	0	0	0	0	0	3
"9"	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0
"10"	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"11"	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"12"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"13"	1	0	1	0	40	2	0	1	0	2	0	1	0	0	0	1	0
"14"	0	0	4	0	20	2	1	0	0	1	0	0	0	0	1	0	4
"15"	0	0	3	0	500	19	0	2	0	17	5	2	0	0	2	1	49
"16"	0	0	2	0	142	9	0	0	0	3	3	2	0	0	0	0	11
"17"	0	0	2	0	44	1	0	0	1	4	3	0	0	0	0	0	3
"18"	0	0	3	1	31	4	0	0	0	1	7	0	0	0	0	0	4
"19"	0	0	6	0	30	6	0	0	0	2	5	0	0	0	0	0	7
"20"	0	1	7	0	71	5	1	1	0	5	18	0	0	1	5	0	12
"21"	0	0	5	0	20	0	0	0	0	5	1	0	0	0	0	0	4
"22"	0	0	3	0	5	0	0	0	0	2	0	0	0	0	2	0	1
"23"	0	0	0	1	8	0	0	0	0	1	0	0	0	1	4	0	2
"24"	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"25"	0	0	3	0	10	1	1	0	0	0	2	0	0	2	7	0	1
"26"	0	0	1	0	9	0	0	0	0	1	2	1	3	3	14	0	6
"27"	0	0	1	0	14	0	0	0	0	5	3	0	7	0	10	0	4
"28"	0	0	0	0	2	0	0	1	0	0	0	0	0	1	3	0	1
"29"	0	0	0	0	4	0	0	0	0	0	1	0	0	0	3	0	1
"30"	0	1	0	0	1173	2	3	1	2	9	71	0	27	69	227	1	13
"31"	0	0	12	0	2671	1	4	1	3	7	49	1	15	52	161	1	2
"32"	0	0	7	0	33	4	0	0	0	0	0	3	33	1	0	0	7
"33"	0	0	12	0	62	8	0	0	0	3	1	15	23	0	5	0	6
"34"	0	0	15	0	220	20	0	0	0	2	0	5	27	0	5	0	33
"35"	0	0	6	0	29	6	0	0	0	3	0	2	3	0	0	0	17
"36"	0	0	4	0	60	3	0	0	0	0	0	0	2	0	0	0	21
"37"	0	0	18	1	21	2	0	0	0	2	1	2	5	0	0	0	11
"38"	0	0	4	0	3	0	0	0	0	4	0	0	1	0	0	0	3
"39"	0	0	5	0	5	0	0	0	0	1	0	0	1	0	0	0	2
"40"	0	0	1	0	18	0	0	0	0	0	0	1	0	0	0	0	0
"41"	0	0	4	0	49	0	0	0	0	3	0	1	0	0	0	2	11
"42"	0	0	3	1	33	0	0	2	0	1	0	0	2	0	0	0	11
"43"	0	0	3	0	71	1	0	0	0	11	1	0	3	0	0	0	5
"44"	0	0	6	1	28	1	2	1	0	3	0	1	0	0	0	0	0
"45"	0	0	5	1	37	3	1	2	0	7	1	1	0	0	0	1	3
"46"	1	0	4	0	103	1	1	0	0	2	10	2	0	2	3	2	18
"47"	0	0	2	0	11	0	0	1	0	1	1	0	0	0	0	0	0
"48"	1	0	0	0	17	0	0	1	1	2	0	0	3	0	0	0	6
"49"	0	1	2	0	27	0	0	0	0	1	4	0	36	0	11	0	4
